# PIMCID: N2-M100-cycle2-winding1-v2
# START_CONFIG 000000
     20        1        1      1.370E+01      1.105E+01      1.029E+01         19        1       21        1
     21        0        1      4.352E+00      1.032E+01      1.122E+01         20        0       22        0
     21        1        1      1.442E+01      1.088E+01      1.024E+01         20        1       22        1
     22        0        1      4.981E+00      1.016E+01      1.100E+01         21        0       23        0
     22        1        1      1.429E+01      1.085E+01      1.001E+01         21        1       23        1
     23        0        1      4.680E+00      1.005E+01      1.096E+01         22        0       24        0
     23        1        1      1.469E+01      1.108E+01      1.042E+01         22        1       24        1
     24        0        1      4.623E+00      1.002E+01      1.090E+01         23        0       25        0
     24        1        1      1.473E+01      1.092E+01      1.026E+01         23        1       25        1
     25        0        1      4.655E+00      9.991E+00      1.124E+01         24        0       26        0
     25        1        1      1.517E+01      1.107E+01      1.018E+01         24        1       26        1
     26        0        1      5.224E+00      1.012E+01      1.118E+01         25        0       27        0
     26        1        1      1.501E+01      1.118E+01      9.916E+00         25        1       27        1
     27        0        1      5.217E+00      9.992E+00      1.102E+01         26        0       28        0
     27        1        1      1.529E+01      1.131E+01      9.971E+00         26        1       28        1
     28        0        1      5.651E+00      9.577E+00      1.071E+01         27        0       29        0
     28        1        1      1.550E+01      1.075E+01      9.893E+00         27        1       29        1
     29        0        1      5.976E+00      9.507E+00      1.101E+01         28        0       30        0
     29        1        1      1.581E+01      1.089E+01      1.011E+01         28        1       30        1
     30        0        1      5.777E+00      9.665E+00      1.113E+01         29        0       31        0
     30        1        1      1.625E+01      1.071E+01      9.654E+00         29        1       31        1
     31        0        1      6.199E+00      9.603E+00      1.088E+01         30        0       32        0
     31        1        1      1.646E+01      1.057E+01      9.660E+00         30        1       32        1
     32        0        1      6.388E+00      9.692E+00      1.072E+01         31        0       33        0
     32        1        1      1.649E+01      1.116E+01      9.435E+00         31        1       33        1
     33        0        1      6.948E+00      9.278E+00      1.076E+01         32        0       34        0
     33        1        1      1.684E+01      1.066E+01      9.571E+00         32        1       34        1
     34        0        1      6.943E+00      9.458E+00      1.091E+01         33        0       35        0
     34        1        1      1.663E+01      1.101E+01      9.620E+00         33        1       35        1
     35        0        1      7.176E+00      9.139E+00      1.069E+01         34        0       36        0
     35        1        1      1.716E+01      1.113E+01      9.398E+00         34        1       36        1
     36        0        1      7.108E+00      9.343E+00      1.061E+01         35        0       37        0
     36        1        1      1.711E+01      1.079E+01      9.660E+00         35        1       37        1
     37        0        1      7.243E+00      9.628E+00      1.059E+01         36        0       38        0
     37        1        1      1.723E+01      1.030E+01      9.536E+00         36        1       38        1
     38        0        1      7.699E+00      9.246E+00      1.099E+01         37        0       39        0
     38        1        1      1.786E+01      1.085E+01      9.417E+00         37        1       39        1
     39        0        1      7.852E+00      9.434E+00      1.088E+01         38        0       40        0
     39        1        1      1.777E+01      1.057E+01      9.685E+00         38        1       40        1
     40        0        1      7.655E+00      8.891E+00      1.086E+01         39        0       41        0
     40        1        1      1.776E+01      1.061E+01      9.322E+00         39        1       41        1
     41        0        1      7.895E+00      9.466E+00      1.058E+01         40        0       42        0
     41        1        1      1.834E+01      1.038E+01      9.088E+00         40        1       42        1
     42        0        1      8.314E+00      9.603E+00      1.026E+01         41        0       43        0
     42        1        1      1.858E+01      1.049E+01      8.847E+00         41        1       43        1
     43        0        1      8.577E+00      9.225E+00      1.027E+01         42        0       44        0
     43        1        1      1.861E+01      1.071E+01      9.146E+00         42        1       44        1
     44        0        1      8.766E+00      8.908E+00      1.036E+01         43        0       45        0
     44        1        1      1.873E+01      1.044E+01      8.840E+00         43        1       45        1
     45        0        1      9.306E+00      8.902E+00      1.027E+01         44        0       46        0
     45        1        1      1.901E+01      1.026E+01      8.601E+00         44        1       46        1
     46        0        1      9.181E+00      9.038E+00      1.058E+01         45        0       47        0
     46        1        1      1.935E+01      1.036E+01      8.865E+00         45        1       47        1
     47        0        1      9.268E+00      9.050E+00      1.007E+01         46        0       48        0
     47        1        1      1.931E+01      1.046E+01      8.941E+00         46        1       48        1
     48        0        1      9.439E+00      9.049E+00      1.030E+01         47        0       49        0
     48        1        1      1.944E+01      1.016E+01      8.869E+00         47        1       49        1
     49        0        1      9.737E+00      9.221E+00      9.809E+00         48        0       50        0
     49        1        1      2.976E-02      9.941E+00      9.039E+00         48        1       50        1
     50        0        1      9.973E+00      8.791E+00      9.992E+00         49        0       51        0
     50        1        1      1.352E-01      1.031E+01      8.962E+00         49        1       51        1
     51        0        1      1.039E+01      9.344E+00      9.950E+00         50        0       52        0
     51        1        1      4.366E-01      9.870E+00      8.974E+00         50        1       52        1
     52        0        1      1.004E+01      8.891E+00      9.593E+00         51        0       53        0
     52        1        1      2.698E-01      9.642E+00      9.147E+00         51        1       53        1
     53        0        1      1.081E+01      9.292E+00      1.009E+01         52        0       54        0
     53        1        1      2.123E-01      9.813E+00      9.000E+00         52        1       54        1
     54        0        1      1.066E+01      8.967E+00      9.473E+00         53        0       55        0
     54        1        1      1.034E+00      9.891E+00      8.577E+00         53        1       55        1
     55        0        1      1.073E+01      8.856E+00      9.857E+00         54        0       56        0
