# PIMCID: N2-M100-cycle2-exchange
# START_CONFIG 000000
     57        0        1      6.561E+00      9.489E+00      1.188E+01         56        0       58        0
     57        1        1      1.683E+01      1.091E+01      6.326E+00         56        1       58        1
     58        0        1      6.783E+00      9.543E+00      1.193E+01         57        0       59        0
     58        1        1      1.707E+01      1.103E+01      6.424E+00         57        1       59        1
     59        0        1      6.702E+00      9.492E+00      1.163E+01         58        0       60        0
     59        1        1      1.701E+01      1.130E+01      6.703E+00         58        1       60        1
     60        0        1      6.994E+00      9.432E+00      1.186E+01         59        0       61        0
     60        1        1      1.709E+01      1.141E+01      6.624E+00         59        1       61        1
     61        0        1      7.438E+00      9.529E+00      1.169E+01         60        0       62        0
     61        1        1      1.690E+01      1.101E+01      6.441E+00         60        1       62        1
     62        0        1      7.019E+00      9.337E+00      1.159E+01         61        0       63        0
     62        1        1      1.715E+01      1.156E+01      6.486E+00         61        1       63        1
     63        0        1      7.552E+00      9.038E+00      1.159E+01         62        0       64        0
     63        1        1      1.748E+01      1.153E+01      7.043E+00         62        1       64        1
     64        0        1      7.606E+00      9.294E+00      1.166E+01         63        0       65        0
     64        1        1      1.727E+01      1.170E+01      7.048E+00         63        1       65        1
     65        0        1      7.860E+00      9.003E+00      1.169E+01         64        0       66        0
     65        1        1      1.773E+01      1.156E+01      7.173E+00         64        1       66        1
     66        0        1      7.882E+00      8.957E+00      1.188E+01         65        0       67        0
     66        1        1      1.782E+01      1.151E+01      7.210E+00         65        1       67        1
     67        0        1      7.771E+00      9.141E+00      1.159E+01         66        0       68        0
     67        1        1      1.800E+01      1.178E+01      6.732E+00         66        1       68        1
     68        0        1      8.112E+00      8.647E+00      1.156E+01         67        0       69        0
     68        1        1      1.814E+01      1.221E+01      7.130E+00         67        1       69        1
     69        0        1      8.049E+00      8.809E+00      1.151E+01         68        0       70        0
     69        1        1      1.787E+01      1.213E+01      7.300E+00         68        1       70        1
     70        0        1      8.246E+00      8.963E+00      1.135E+01         69        0       71        0
     70        1        1      1.807E+01      1.185E+01      7.245E+00         69        1       71        1
     71        0        1      8.137E+00      8.972E+00      1.146E+01         70        0       72        0
     71        1        1      1.794E+01      1.199E+01      7.440E+00         70        1       72        1
     72        0        1      8.344E+00      8.451E+00      1.126E+01         71        0       73        0
     72        1        1      1.839E+01      1.204E+01      7.548E+00         71        1       73        1
     73        0        1      8.497E+00      8.392E+00      1.122E+01         72        0       74        0
     73        1        1      1.867E+01      1.230E+01      7.351E+00         72        1       74        1
     74        0        1      8.662E+00      8.865E+00      1.172E+01         73        0       75        0
     74        1        1      1.863E+01      1.238E+01      7.256E+00         73        1       75        1
     75        0        1      8.742E+00      8.588E+00      1.133E+01         74        0       76        0
     75        1        1      1.882E+01      1.230E+01      7.580E+00         74        1       76        1
     76        0        1      8.384E+00      8.491E+00      1.107E+01         75        0       77        0
     76        1        1      1.845E+01      1.238E+01      7.756E+00         75        1       77        1
     77        0        1      8.925E+00      8.518E+00      1.156E+01         76        0       78        0
